transaction_id,timestamp,sender_id,receiver_id,amount,merchant_category,transaction_type,location,device_type,upi_channel,is_fraud_simulated,fraud_pattern,hour,day_of_week,historical_avg_amount,amount_deviation,transactions_last_hour,average_transaction_amount,time_since_last_transaction,recipient_frequency,device_changed,location_changed,iqr_flag,isolation_forest_flag,isolation_forest_score
TXN07987,2026-01-01 06:02:34,USR00351,USR00183,379.94,Utilities,P2P,Ahmedabad,Web,AmazonPay,0,none,6,3,379.94,0.0,0,379.94,-1.0,0,0,0,0,0,0.13202905681072752
TXN06943,2026-01-01 06:04:04,USR00469,USR00308,783.89,Shopping,P2P,Mumbai,iPhone,GPay,0,none,6,3,783.89,0.0,0,783.89,-1.0,0,0,0,0,0,0.13229754572735541
TXN07981,2026-01-01 06:11:15,USR00094,USR00185,3470.06,Education,P2P,Pune,Web,GPay,0,none,6,3,3470.06,0.0,0,3470.06,-1.0,0,0,0,0,0,0.1250555791660421
TXN06002,2026-01-01 06:31:16,USR00065,USR00041,427.36,Grocery,P2M,Pune,Android_Phone,PhonePe,0,none,6,3,427.36,0.0,0,427.36,-1.0,0,0,0,0,0,0.131997768105368
TXN06794,2026-01-01 07:07:00,USR00276,USR00121,2114.51,Rent,P2P,Bengaluru,Web,Paytm,0,none,7,3,2114.51,0.0,0,2114.51,-1.0,0,0,0,0,0,0.13550667913237424
TXN02213,2026-01-01 07:08:26,USR00364,USR00099,16629.73,Healthcare,P2M,Lucknow,Web,Paytm,0,none,7,3,16629.73,0.0,0,16629.73,-1.0,0,0,0,1,0,0.07867854251622525
TXN09478,2026-01-01 07:17:24,USR00354,USR00012,3160.24,Food Delivery,P2P,Ahmedabad,Tablet,Paytm,1,new_location,7,3,3160.24,0.0,0,3160.24,-1.0,0,0,0,0,0,0.13482411291866891
TXN09647,2026-01-01 07:25:12,USR00325,USR00463,641.96,Fuel,P2M,Nagpur,Android_Phone,PhonePe,1,rapid_burst,7,3,641.96,0.0,0,641.96,-1.0,0,0,0,0,0,0.13874546008474364
TXN03233,2026-01-01 07:34:58,USR00418,USR00190,2184.93,Utilities,P2P,Kolkata,Web,BHIM,0,none,7,3,2184.93,0.0,0,2184.93,-1.0,0,0,0,0,0,0.13545850758823635
TXN05038,2026-01-01 07:40:09,USR00092,USR00484,9710.25,P2P Transfer,P2P,Bengaluru,Android_Phone,Paytm,0,none,7,3,9710.25,0.0,0,9710.25,-1.0,0,0,0,0,0,0.11950030721184707
TXN02119,2026-01-01 07:43:52,USR00202,USR00271,15248.02,Fuel,P2P,Mumbai,Tablet,Paytm,0,none,7,3,15248.02,0.0,0,15248.02,-1.0,0,0,0,0,0,0.0875054580068167
TXN03268,2026-01-01 07:51:19,USR00266,USR00079,16315.87,Utilities,P2P,Lucknow,iPhone,PhonePe,0,none,7,3,16315.87,0.0,0,16315.87,-1.0,0,0,0,1,0,0.08006023254688527
TXN03623,2026-01-01 07:53:37,USR00486,USR00163,131.79,P2P Transfer,P2P,Pune,Android_Phone,Paytm,0,none,7,3,131.79,0.0,0,131.79,-1.0,0,0,0,0,0,0.1356201307307603
TXN08174,2026-01-01 07:57:26,USR00422,USR00184,865.78,Travel,P2P,Ahmedabad,Web,PhonePe,0,none,7,3,865.78,0.0,0,865.78,-1.0,0,0,0,0,0,0.13852311495707365
