transaction_id,timestamp,sender_id,receiver_id,amount,merchant_category,transaction_type,location,device_type,upi_channel,is_fraud_simulated,fraud_pattern
TXN07987,2026-01-01 06:02:34,USR00351,USR00183,379.94,Utilities,P2P,Ahmedabad,Web,AmazonPay,0,
TXN06943,2026-01-01 06:04:04,USR00469,USR00308,783.89,Shopping,P2P,Mumbai,iPhone,GPay,0,
TXN07981,2026-01-01 06:11:15,USR00094,USR00185,3470.06,Education,P2P,Pune,Web,GPay,0,
TXN06002,2026-01-01 06:31:16,USR00065,USR00041,427.36,Grocery,P2M,Pune,Android_Phone,PhonePe,0,
TXN06794,2026-01-01 07:07:00,USR00276,USR00121,2114.51,Rent,P2P,Bengaluru,Web,Paytm,0,
TXN02213,2026-01-01 07:08:26,USR00364,USR00099,16629.73,Healthcare,P2M,Lucknow,Web,Paytm,0,
TXN09478,2026-01-01 07:17:24,USR00354,USR00012,3160.24,Food Delivery,P2P,Ahmedabad,Tablet,Paytm,1,new_location
TXN09647,2026-01-01 07:25:12,USR00325,USR00463,641.96,Fuel,P2M,Nagpur,Android_Phone,PhonePe,1,rapid_burst
TXN03233,2026-01-01 07:34:58,USR00418,USR00190,2184.93,Utilities,P2P,Kolkata,Web,BHIM,0,
TXN05038,2026-01-01 07:40:09,USR00092,USR00484,9710.25,P2P Transfer,P2P,Bengaluru,Android_Phone,Paytm,0,
TXN02119,2026-01-01 07:43:52,USR00202,USR00271,15248.02,Fuel,P2P,Mumbai,Tablet,Paytm,0,
TXN03268,2026-01-01 07:51:19,USR00266,USR00079,16315.87,Utilities,P2P,Lucknow,iPhone,PhonePe,0,
TXN03623,2026-01-01 07:53:37,USR00486,USR00163,131.79,P2P Transfer,P2P,Pune,Android_Phone,Paytm,0,
TXN08174,2026-01-01 07:57:26,USR00422,USR00184,865.78,Travel,P2P,Ahmedabad,Web,PhonePe,0,
TXN06577,2026-01-01 08:00:21,USR00003,USR00022,3407.45,Education,P2P,Lucknow,Web,AmazonPay,0,
TXN03462,2026-01-01 08:02:48,USR00063,USR00485,7523.1,P2P Transfer,P2M,Bengaluru,Android_Phone,Paytm,0,
TXN02319,2026-01-01 08:20:40,USR00096,USR00106,2014.34,Fuel,P2P,Delhi,iPhone,Paytm,0,
TXN09477,2026-01-01 08:21:50,USR00290,USR00428,813.73,Food Delivery,P2M,Ahmedabad,Web,GPay,1,"high_amount,new_device"
TXN08685,2026-01-01 08:32:34,USR00136,USR00093,362.93,Entertainment,P2M,Nagpur,Tablet,BHIM,0,
TXN07353,2026-01-01 08:38:44,USR00149,USR00066,874.47,Grocery,P2P,Jaipur,iPhone,GPay,0,
TXN05222,2026-01-01 08:51:19,USR00409,USR00479,250.27,Grocery,P2P,Delhi,Android_Phone,BHIM,0,
TXN05963,2026-01-01 08:57:28,USR00363,USR00371,1416.66,Travel,P2M,Hyderabad,Android_Phone,AmazonPay,0,
TXN02632,2026-01-01 09:10:15,USR00105,USR00188,245.71,Food Delivery,P2P,Delhi,iPhone,Paytm,0,
TXN04269,2026-01-01 09:53:00,USR00499,USR00195,426.24,Rent,P2M,Surat,Tablet,BHIM,0,
TXN06914,2026-01-01 09:54:37,USR00064,USR00397,753.83,Grocery,P2P,Lucknow,Tablet,BHIM,0,
TXN09386,2026-01-01 09:59:59,USR00375,USR00367,3081.93,Fuel,P2P,Bengaluru,iPhone,PhonePe,0,
TXN02490,2026-01-01 10:03:01,USR00389,USR00261,115.93,Travel,P2M,Mumbai,iPhone,GPay,0,
TXN03919,2026-01-01 10:03:43,USR00437,USR00395,724.3,Rent,P2P,Pune,iPhone,Paytm,0,
TXN03363,2026-01-01 10:08:49,USR00414,USR00096,8339.54,Healthcare,P2P,Hyderabad,Tablet,BHIM,0,
TXN05470,2026-01-01 10:15:14,USR00441,USR00289,56.58,Entertainment,P2M,Chennai,Android_Phone,PhonePe,0,
TXN04971,2026-01-01 10:19:59,USR00135,USR00375,317.31,Food Delivery,P2P,Chennai,Android_Phone,GPay,0,
TXN02522,2026-01-01 10:23:31,USR00170,USR00315,10603.71,Entertainment,P2M,Bengaluru,Web,AmazonPay,0,
TXN05957,2026-01-01 10:28:24,USR00150,USR00481,357.69,Travel,P2P,Chennai,iPhone,AmazonPay,0,
TXN01621,2026-01-01 10:30:12,USR00290,USR00428,61.46,Food Delivery,P2M,Ahmedabad,Tablet,GPay,0,
TXN06336,2026-01-01 10:41:14,USR00156,USR00416,8461.84,Rent,P2P,Pune,Tablet,AmazonPay,0,
TXN07785,2026-01-01 10:57:50,USR00363,USR00101,2105.35,Shopping,P2P,Hyderabad,Android_Phone,AmazonPay,0,
TXN09920,2026-01-01 10:58:26,USR00020,USR00031,3873.46,Grocery,P2M,Lucknow,Android_Phone,BHIM,1,high_amount
TXN09567,2026-01-01 11:02:45,USR00224,USR00352,247.13,Travel,P2P,Mumbai,Web,Paytm,1,"rapid_burst,new_receiver"
TXN01518,2026-01-01 11:04:10,USR00469,USR00429,585.39,Entertainment,P2M,Mumbai,iPhone,GPay,0,
TXN02327,2026-01-01 11:04:12,USR00494,USR00378,9524.54,Rent,P2P,Bengaluru,iPhone,AmazonPay,0,
TXN09227,2026-01-01 11:04:26,USR00387,USR00113,1711.34,Entertainment,P2M,Delhi,Tablet,Paytm,0,
TXN05456,2026-01-01 11:06:17,USR00379,USR00103,228.37,Food Delivery,P2P,Pune,Android_Phone,AmazonPay,0,
TXN00573,2026-01-01 11:09:49,USR00467,USR00255,6037.97,Shopping,P2M,Mumbai,Web,GPay,0,
TXN04903,2026-01-01 11:18:02,USR00138,USR00188,16661.81,Rent,P2P,Surat,Android_Phone,BHIM,0,
TXN04703,2026-01-01 11:31:53,USR00291,USR00283,9127.84,Education,P2P,Lucknow,Tablet,BHIM,0,
TXN07838,2026-01-01 11:40:35,USR00242,USR00352,11434.05,Utilities,P2P,Kolkata,Android_Phone,Paytm,0,
TXN02092,2026-01-01 11:40:48,USR00182,USR00067,2079.0,Travel,P2M,Delhi,Tablet,BHIM,0,
TXN03899,2026-01-01 11:56:59,USR00184,USR00478,12560.04,Entertainment,P2P,Jaipur,Android_Phone,GPay,0,
TXN02991,2026-01-01 12:08:20,USR00222,USR00053,99.29,Shopping,P2M,Chennai,iPhone,Paytm,0,
TXN04316,2026-01-01 12:12:35,USR00469,USR00471,594.09,Fuel,P2M,Mumbai,iPhone,GPay,0,
TXN02784,2026-01-01 12:19:15,USR00387,USR00113,1295.59,Education,P2M,Delhi,Tablet,Paytm,0,
TXN06764,2026-01-01 12:32:44,USR00005,USR00189,6450.65,Entertainment,P2P,Surat,Tablet,Paytm,0,
TXN05340,2026-01-01 12:34:40,USR00037,USR00280,629.0,Education,P2M,Lucknow,iPhone,Paytm,0,
TXN06075,2026-01-01 12:40:09,USR00342,USR00364,729.31,Grocery,P2P,Nagpur,Web,PhonePe,0,
TXN00381,2026-01-01 12:40:14,USR00253,USR00488,230.05,Education,P2P,Hyderabad,Android_Phone,PhonePe,0,
TXN08076,2026-01-01 12:40:34,USR00457,USR00305,8126.65,Travel,P2M,Lucknow,Web,GPay,0,
TXN08109,2026-01-01 12:56:01,USR00071,USR00082,147.5,Utilities,P2P,Surat,Web,Paytm,0,
TXN04067,2026-01-01 12:59:44,USR00267,USR00135,464.01,Education,P2P,Hyderabad,Tablet,Paytm,0,
TXN02013,2026-01-01 13:23:52,USR00468,USR00125,7291.67,Fuel,P2M,Delhi,Tablet,AmazonPay,0,
TXN05992,2026-01-01 13:43:49,USR00058,USR00188,9513.84,Fuel,P2P,Hyderabad,iPhone,AmazonPay,0,
TXN05227,2026-01-01 13:43:53,USR00427,USR00326,578.32,Rent,P2M,Jaipur,Web,AmazonPay,0,
TXN02035,2026-01-01 13:54:36,USR00222,USR00247,152.73,Utilities,P2M,Chennai,iPhone,Paytm,0,
TXN01938,2026-01-01 14:21:11,USR00243,USR00026,10692.55,Grocery,P2M,Chennai,Android_Phone,Paytm,0,
